NOMBRE LIMPIO
"CORDERO BORBOA,ADOLFO ERNESTO"
"TAPIA IBARGUENGOYTIA,RICARDO JORGE"
"CASTILLO ALVARADO,FRAY DE LANDA"
"KORNHAUSER STRAUS,ISAAC"
"WILSON ROBERTS,RICHARD GORDON"
"GALINDO FENTANES,ENRIQUE"
"OLIVA SALINAS,JUAN GERARDO"
"BARRIO PAREDES,RAFAEL ANGEL"
"TAGÜEÑA PARGA,JULIA"
"ROSADO SOLIS,MARGARITA EUGENIA DEL SOCORRO"
"ROMO DE VIVAR ROMO,ALFONSO"
"URIBE SANCHEZ,FRANCISCO JAVIER"
"BRODA PRUCHA,JOHANNA"
"GARCIA REIMBERT,CATHERINE"
"MELLO PICCO,PIER ACHILLE"
"MEDINA MORA ICAZA,MARIA ELENA TERESA"
"FAHMEL BEYER,BERND WALTER FEDERICO"
"KLAPP ESCRIBANO,JAIME LAZARO"
"BRAILOVSKY Y ALPEROWITZ,HARRY URAD"
"TOSCANO,RUBEN ALFREDO"
"AZORIN NIETO,JUAN"
"GOMEZ MONT AVALOS,XAVIER"
"SALMON SALAZAR,MANUEL DE JESUS"
"LOPEZ REVILLA,RUBEN HIPOLITO"
"VALENCIA JUILLERAT,MAURO EDUARDO FERNANDO"
"LLAMAS HUITRON,IGNACIO"
"GONZALEZ LEON,CARLOS MANUEL"
"ROLDAN QUINTANA,JAIME SERGIO FELIPE"
"JIMENEZ ESTRADA,MANUEL"
"CALVA Y MERCADO,EDMUNDO"
"MOCHAN BACKAL,WOLF LUIS"
"FLORES VALDES,ALFREDO"
"TORRENS MIQUEL,HUGO"
"PIMENTEL RICO,LUIS OCTAVIO"
"PORTER KAMLIN,ROBERT MICHAEL"
"VERJOVSKY SOLA,SANTIAGO ALBERTO"
"WEISS STEIDER,BENNY"
"HENDRICKX RENERS,MICHEL EDMOND"
"GUZMAN ORTIZ,DORA LINDA ASUNCION"
"AGUAYO QUEZADA,SERGIO"
"HANSEN HANSEN,ANNE MARGRETHE"
"PEREDA FAILACHE,JUAN CARLOS"
"ALDUNCIN GONZALEZ,GONZALO"
"RUIZ DE LA HERRAN Y VILLAGOMEZ,JOSE ANTONIO"
"TORO VAZQUEZ,JORGE FERNANDO"
"LEYVA RAMOS,ROBERTO"
"CORNEJO RODRIGUEZ,ANSELMO ALEJANDRO"
"AGUILAR LAURENTS,MARIA ISABEL"
"VILLAFUERTE ROBLES,LEOPOLDO"
"VICENTE HINESTROZA,LUIS ALBERTO"
"RACOTTA POULIEFF,RADU GHEORGHE"
"LOPEZ CAJUN,CARLOS SANTIAGO"
"RODRIGUEZ SALA Y MURO,MARIA LUISA"
"CARTON DE GRAMMONT BARBET,HUBERT FRANCIS MARIE"
"ESCALANTE ESTRADA,JOSE ALBERTO SALVADOR"
"BOTTON Y BEJA,FLORA"
"CHAVEZ VILLASANA,ADOLFO"
"RUIZ Y ARGUELLES,GUILLERMO JOSE"
"GENESCA LLONGUERAS,JUAN"
"LOPEZ MUNGUIA CANALES,AGUSTIN"
"RAMOS NIEMBRO,GAUDENCIO FRANCISCO GABRIEL"
"LOZANO GUZMAN,ALEJANDRO ALFREDO"
"ROMERO PAREDES RUBIO,GABRIEL"
"CARNEVALE CANTONI,ALESSANDRA"
"NAVA PICHARDO,FIDENCIO ALEJANDRO"
"VAZQUEZ Y VERA,JOSEFINA ZORAIDA"
"HANSBERG Y TORRES,WILHELM LUDWIG"
"JIMENEZ CARDOSO,ENEDINA"
"ARES DE PARGA ALVAREZ,GONZALO"
"DE GYVES Y MARCINIAK,JOSEFINA"
"MONROY HERMOSILLO,OSCAR ARMANDO"
"PEREZ RAMIREZ,J. GUADALUPE"
"GAVILANES RUIZ,MARINA"
"TUENA SANGRI,MARIETTA"
"IZQUIERDO MONTALVO,GEORGINA"
"OSWALD SPRING,URSULA"
"BARRAGAN REYES,ROSA MARIA"
"DIAZ BARRIGA CASALES,ANGEL ROGELIO"
"ALVAREZ TORRES,IGNACIO"
"RIOS JARA,DAVID"
"TREVIÑO TREVIÑO,CESAR"
"GODOY SALAS,SALVADOR VICTOR"
"DELGADO LAMAS,EDUARDO GUILLERMO"
"REINA AOYAMA,LETICIA MAYOLA"
"WAWRZYÑCZYK WILKIEWICZ,ANTONI ADAM"
"AUVINET GUICHARD,GABRIEL YVES ARMAND"
"PEREZ ESTEVA,SALVADOR"
"COLAS ORTIZ,RAFAEL"
FIERRO GOSSMANJULIETA NORMA
"PACHECO CABRERA,PABLO"
"GELMAN MURAVCHIK,OVSEI"
"DE ITA Y DE LA TORRE,ANTONIO SILVIO"
"GRACIA FADRIQUE,JESUS"
"PALACIOS ALQUISIRA,JOAQUIN"
"QUINTANA OWEN,PATRICIA"
"CASTANEDO PEREZ,REBECA"
"ARIZMENDI PEIMBERT,HUGO"
"CLAPP JIMENEZ LABORA,MONICA ALICIA"
"SALMERON CASTRO,LEONARDO"
"CASTAÑOS GARZA,OCTAVIO HECTOR"
"CEA OLIVARES,RAYMUNDO"
"RUIZ AZUARA,LENA"
"TSUTSUMI FUJIYOSHI,VICTOR KATSUTOSHI"
"CHARLI CASALONGA,JEAN-LOUIS JOSEPH MARIE"
"JOSEPH BRAVO,PATRICIA ILEANA"
"SEGOVIA AGUILAR,MARIA DE NURIA"
"MENDEZ NONELL,JUAN"
"BELMONT MORENO,ERNESTO JOSE MARIA DE LA SALET"
"ALVAREZ BEJAR,ROMAN"
"VAREA Y GILABERT,CARMEN JOSEFA LUCIANA"
"BENAVIDES OBREGON,ANA LAURA"
"LASTRAS MARTINEZ,ALFONSO"
"MONTEJANO CARRIZALES,JUAN MARTIN"
"SOBERON MAINERO,FRANCISCO XAVIER DEL ESPIRITU"
"SUAREZ DIEZ,MARIA DE LOURDES"
"LOPEZ ISUNZA,HECTOR FELIPE"
"CORTES REYNA,EMILIO"
"DOMINGUEZ MORA,RAMON"
"SOBERON CHAVEZ,GLORIA"
"PEREZ GARCIA,BLANCA"
"LOPEZ WILCHIS,RICARDO"
"MONTAÑO HIROSE,LUIS"
"HORTA RANGEL,JAIME MOISES"
"SEGOVIA DE LOS RIOS,JOSE ARMANDO"
"PALOMINO Y HASBACH,MARIA GUADALUPE ANTONIA"
"KOENIGSBERGER HOROWITZ,GLORIA SUZANNE"
"MORENO CORRAL,MARCO ARTURO"
"RUIZ SCHNEIDER,ELFEGO GUILLERMO"
"MIRABAL GARCIA,MANUEL"
"MONTAÑEZ OJEDA,SILVIA CECILIA IRENE"
"DE LA VEGA NAVARRO,JOSE ANGEL FELIX"
"ORTEGA BLAKE,IVAN"
"MORENO YNTRIAGO,FERNANDO MATIAS"
"OJEDA CASTAÑEDA,JORGE"
"PILATOWSKY FIGUEROA,ISAAC"
"OCHOA ALEJO,NEFTALI"
"HERNANDEZ CALDERON,ISAAC"
"RAMIREZ GARCIA,PEDRO"
"DRUMMOND DUREY,HUGH MICHAEL"
"MOCHON COHEN,SIMON"
"ROJAS ESPINOSA,OSCAR"
"COLINAS Y LEON,MARIA TERESA BERYL"
"HAMEL WILCKE,RAINER ENRIQUE"
"SANJUAN DUEÑAS,RUBEN"
"LLORENTE BOUSQUETS,JORGE ENRIQUE"
"GARCIA LATORRE,ETHEL AWILDA"
"BEDOLLA BECERRIL,JOSE EGBERTO"
"CHAVEZ LOMELI,EFRAIN RAFAEL"
"DIDRIKSSON TAKAYANAGUI,AXEL"
"DE LA GARZA AMAYA,GUADALUPE MIREYA"
"DIAZ POLANCO,HECTOR"
"SOTO GONZALEZ,LUIS ARTURO"
"SANCHEZ OBREGON,RUBEN TRINIDAD"
"QUIJANO,LEOVIGILDO"
"AMADOR BEDOLLA,CARLOS"
"QUINTANAR STEPHANO,ANDRES"
"CHICUREL UZIEL,RICARDO"
"ESCAMILLA SILVA,ELEAZAR MAXIMO"
"JIMENEZ GUTIERREZ,ARTURO"
"ITURBE ARGUELLES,MARIA DEL ROSARIO"
"FILLOY YAGUE,EUGENIO"
"WAKSMAN MINSKY,NOEMI HERMINIA"
"PRADO ALCALA,ROBERTO AGUSTIN"
"FLORES ESPINOZA,RUBEN"
"MORALES Y PUENTE,PEDRO ABELARDO"
"SALINAS BARRIOS,ELIZABETH MARITZA"
"BARRERA SALDAÑA,HUGO ALBERTO"
"TAMARIZ MASCARUA,ANGEL"
"FORTOUL VANDER GOES,TERESA IMELDA"
"LEMA LABADIE D ARCE,ROSA"
"JIMENEZ PLA,YVETTE DE LOURDES"
JUAN CUAUHTEMOC DIAZ ZAGOYA
"PEDERNERA ASTEGIANO,ENRIQUE ANTONIO"
"TAYLOR DA CUNHA E MELLO,MARIA LUCIA"
"TORIELLO NAJERA,CONCEPCION"
"MORENO ARMELLA,LUIS ENRIQUE"
"LACLETTE SN ROMAN,JUAN PEDRO"
"ROTHENBERG LORENZ,STEPHEN JOEL"
"CARDENAS VAZQUEZ,RENE DE JESUS"
"PEREZ DE TEJADA Y JAIME,HECTOR ANTONIO"
"CUEVAS CARDONA,SALVADOR CARLOS"
"MADRIGAL BUJAIDAR,EDUARDO"
"TURRENT FERNANDEZ,ANTONIO"
"ITURBE GARCIA,JOSE LUIS"
"BRAMBILA PAZ,GLORIA LETICIA"
"SELIGMAN SCHURCH,THOMAS HENRY"
"GONZALEZ JACOME,ALBA"
"RENDON CORONA,ARMANDO"
"AYALA GUERRERO,FRUCTUOSO"
"CAÑEDO Y DORANTES,LUIS ENRIQUE ALBERTO"
"TENTORI SANTA CRUZ,DIANA"
"ROJAS NIETO,CECILIA"
"MENDOZA MARTINEZ,GERMAN DAVID"
"MARTINEZ AUSTRIA,POLIOPTRO FORTUNATO"
"SIQUEIROS BELTRONES,JESUS MARIA"
"BLAZQUEZ DOMINGUEZ,CARMEN GUILLERMINA"
"PALACIOS VELEZ,OSCAR LUIS"
"LLANDERAL CAZARES,MARIA CELINA MICAELA"
"MEYER COSSIO,LORENZO FRANCISCO"
"ROMERO NAPOLES,JESUS"
"GONZALEZ HERNANDEZ,HECTOR"
"DE LA PEÑA TOPETE,GUILLERMO FRANCISCO NICOLAS"
"PACHECO LADRON DE GUEVARA,LOURDES CONSUELO"
"SANCHEZ CORONA,JOSE"
"RIVERA RAMIREZ,HORACIO"
"REVILLA MONSALVE,MARIA CRISTINA"
"CERDA FLORES,RICARDO MARTIN"
"VAZQUEZ MEMIJE,MARTHA ELISA"
"GARCIA MACEDO,JORGE ALFONSO"
"KOHASHI SHIBATA,JOSUE"
"BERMUDEZ RATTONI,FEDERICO"
"PUIG AREVALO,JORGE EMILIO"
"OLIVER SANCHEZ,LILIA VICTORIA"
"DAKIN ANDERSON,KAREN ILSE"
"VILLA LEVER,LORENZA"
"LOZOYA SALDAÑA,HECTOR"
"MOYA ACOSTA,SARA LILIA"
"GARCIA BORQUEZ,ARTURO"
"SCHIFTER SECORA,ISAAC"
"ORTIZ LOPEZ,JAIME"
"MALDONADO JIMENEZ,EMMA"
"GARRO BORDONARO,NORA NIDIA"
"ROSENSTEIN AZOULAY,YVONNE JANE"
"ZAPATA MARTELO,EMMA MARIA"
"NAVARRO CONTRERAS,HUGO RICARDO"
"DE LA CRUZ REYNA,SERVANDO"
"GORODEZKY LAUFERMAN,CLARA"
"MONDRAGON BALLESTEROS,ALFONSO JAVIER"
"DE LA TORRE ALMARAZ,RODOLFO"
"COMBONI SALINAS,SONIA"
"POULAIN GARCIA,ENRIQUE GABRIEL"
"MENA INIESTA,BALTASAR"
"LOPEZ MARTINEZ,ARTURO RUBEN"
"CASALET RAVENNA,ANA MARIA MONICA"
"OSORIO URBINA,JAIME SEBASTIAN"
"MEZA GOMEZ PALACIO,ISAURA"
VICTOR MANUEL GONZALEZ ESPARZA
"ALEXANDER-KATZ KAUFFMANN,ROBERTO"
"REYES VAZQUEZ,CRUZ"
"BARRAGAN BARRAGAN,JOSE"
"ORNELAS NAVARRO,JESUS CARLOS"
"GUEVARA GUZMAN,ROSALINDA"
"FIGUERAS MOURUT DE MONTPPELLIER,OLIMPIA"
"ROJANO CEBALLOS,MARIA TERESA"
"HUACUZ VILLAMAR,JORGE MAXIMILIANO"
"RODRIGUEZ RODRIGUEZ,JOAQUIN HECTOR"
"TORRES CASTILLEJA,SILVIA LINDA"
"VIVIER JEGOUX,ANA MARIA FRANCISCA"
"BUNGE MOLINA,CARLOS FEDERICO"
"BECERRIL LUJAN,BALTAZAR"
"FERRUSQUIA VILLAFRANCA,ISMAEL"
"VERDE STAR,LUIS"
"ROMANO,MARTA CATALINA"
"DIAZ RODRIGUEZ,JORGE ABRAHAM"
"MENDOZA ONOFRE,LEOPOLDO ERNESTO"
"FRANK HOEFLICH,ALEJANDRO"
"LEIJA SALAS,LORENZO"
"MEZA RUIZ,GRACIELA"
"WEDER ZANINOVICH,RICARDO ALBERTO"
"GARDUÑO JUAREZ,RAMON"
"LARRION RIVEROLL,FRANCISCO"
"OROZCO OROZCO,MARIA ESTHER"
"SELMAN LAMA,MOISES EDUARDO"
"RAMOS-ELORDUY BLASQUEZ,JULIETA"
"CHAGOYA Y HAZAS,VICTORIA EUGENIA"
"IÑIGUEZ COVARRUBIAS,GILBERTO"
"CAVAZOS CADENA,ROLANDO"
"TRUJILLO FERRARA,JOSE GUADALUPE"
"WONG RAMIREZ,CARLOS"
"HALEVI,PETER PERETZ"
"DIEZ MARTINEZ DAY,MARIA EVELYN"
"GOMEZ CRUZ,MANUEL ANGEL"
"LOPEZ CASTRO,GUSTAVO"
"SALAZAR SCHETTINO,PAZ MARIA SILVIA"
"GIMENEZ MONTIEL,SIMEON GILBERTO"
"JIMENEZ GUZMAN,JAIME"
"FLISSER STEINBRUCH,ANA"
"SAMANIEGO VERDUZCO,FERNANDO"
"MONTES DE OCA LUNA,ROBERTO"
"DIAZ CAMACHO,SYLVIA PAZ"
"MAYER CELIS,LAURA LETICIA"
"ADLER MILSTEIN,LARISSA"
"SALCEDA SACANELLES,ROCIO"
"QUINTO HERNANDEZ,MA. DEL CARMEN MONSERRAT"
"GRANADOS ARRIOLA,JULIO"
"SUMANO LOPEZ,HECTOR SALVADOR"
"AGUIRRE TORRES,VICTOR MANUEL ARMANDO"
"BARGELLINI CIONI,CLARA"
"BETANCOURT RULE,JOSE MIGUEL"
"NAVARRO GARZA,HERMILIO"
"CASTELLANOS RAMOS,JAVIER ZARAGOZA"
"MAS OLIVA,JAIME"
"CERUTTI GULDBERG,HORACIO VICTORIO"
"PEÑA SAINT MARTIN,JOSE HERMENEGILDO"
"POVEDA RICALDE,RENAN ARCADIO"
"ALLEN ARMIÑO,CHRISTINE PATRICIA"
"TORRES DEL CASTILLO,GERARDO FRANCISCO"
"VALENDER WEBB,ARTHUR JAMES"
"CASTRO ROMERO,TELMA GLORIA"
"OROZCO SEGOVIA,ALMA DELFINA LUCIA"
"ROJAS RAMIREZ,EDMUNDO ENRIQUE"
"MUHL SAUNDERS,STEPHEN"
"BUITRON SANCHEZ,BLANCA ESTELA MARGARITA"
"VILLASEÑOR ALVA,JOSE AURELIO"
"CRUZ GONZALEZ ESPINOSA,IRENE ANTONIA"
"DE GORTARI RABIELA,HIRA SIMON ELI"
"MARICHAL SALINAS,CARLOS"
"LEFF ZIMMERMAN,HENRY DAN"
"BOURGES RODRIGUEZ,HECTOR GENARO NICOLAS"
"BRIONES FOURZAN,PATRICIA DOLORES"
"PERUS COINTET,FRANCOISE ELIZABETH"
"LOPEZ PORTILLO TOSTADO,FELICITAS"
"BARKIN RAPPAPORT,DAVID PETER"
"COLLERA ZUÑIGA,OFELIA"
"CEREIJIDO MATTIOLI,MARCELINO"
"BUSTAMANTE FERNANDEZ,JORGE AGUSTIN"
"GARIGLIO VIDAL,JUAN BAUTISTA PATRICIO"
"MANDOKI WEITZNER,JUAN JOSE"
"MIER Y TERAN Y ROCHA,MARIA MARTA"
"RABELL ROMERO,CECILIA ANDREA"
"PIÑERO DALMAU,DANIEL IGNACIO"
"NATERA REY,GUILLERMINA"
"LARA CANTU,MARIA ASUNCION"
"AYALA MILIAN,AMADO GUSTAVO"
"OSTROSKY SHEJET,FEGGY"
"AGUILAR SETIEN,JOSE ALVARO"
"SALAMANCA GOMEZ,FABIO ABDEL"
"IBARRA CORTES,BERTHA"
"HICKS GOMEZ,JUAN JOSE"
"SAID Y FERNANDEZ,SALVADOR LUIS"
"MENDEZ FRANCISCO,JOSE DOMINGO"
"MORALI DE LA BRENA,GABRIELA"
IGNACIO MARIO MADRAZO NAVARRO
"MARTINEZ MORALES,GUADALUPE IMELDA"
"DIAZ LOVING,ROLANDO"
"ESTRADA Y VELASCO,JULIO LUIS"
"MORA ESCOBEDO,ROSALVA"
"HERRERA SUAREZ,TEOFILO"
"GUZMAN ARENAS,ADOLFO"
"CHAPA VERGARA,SERGIO VICTOR"
"MARTIARENA ALAMO,OSCAR ROLANDO"
"LOPEZ PERALTA,MARIA CRISTINA GUADALUPE"
"ETCHEVERS BARRA,JORGE DIONISIO"
"EXEBIO GARCIA,ADOLFO ANTENOR"
"PEÑA VALDIVIA,CECILIA BEATRIZ"
"VOLKE HALLER,VICTOR HUGO"
"OLESHKO,KLAVDIYA"
"RUIZ GOMEZ,SONIA ELDA"
"ESTEVA MARABOTO,LUIS"
"RUDOMIN ZEVNOVATY,PABLO"
"RUIZ Y HERRERA,JOSE"
"FIX ZAMUDIO,HECTOR"
"LEON Y PORTILLA,MIGUEL LUIS"
"URUCHURTU CHAVARIN,JORGE"
"RAMIREZ GUZMAN,MARTA ELVA"
"JARDON AGUILAR,HILDEBERTO"
"COVARRUBIAS ROSALES,DAVID HILARIO"
"GOMEZ BAROJAS,ESTELA"
"POGGI VARALDO,HECTOR MARIO"
"CHAVEZ SEGURA,RENE EFRAIN"
"OBREGON DIAZ,OCTAVIO JOSE"
"BARBOZA FLORES,MARCELINO"
"PEREZ ROBLES,JUAN FRANCISCO"
DAVALOS SOTELORAYMUNDO
"CARDENAS TRIGOS,HUMBERTO FAUSTO"
"BOSCH GIRAL,CARLOS"
"DIAZ URIBE,JOSE RUFINO"
"RAMIREZ NIÑO,JOSE TOMAS"
"CAMPOS ENRIQUEZ,JOSE OSCAR"
